구/동,장안구,파장동,율천동,정자1동,정자2동,영화동,송죽동,조원1동,연무동,정자3동,조원2동,,
고정형,9811,1005,1452,522,527,1093,1193,1394,749,1579,297,,
주행형,17989,2154,2128,1166,1878,3283,1567,1734,2719,1158,202,,
보행,379,66,24,19,46,69,36,56,38,22,3,,
국민신고,13921,1185,1324,638,929,1283,2498,1529,925,3416,194,,
구/동,권선구,세류1동,세류2동,세류3동,평동,서둔동,구운동,권선1동,곡선동,입북동,권선2동,금곡동,호매실동
고정형,37905,350,1433,377,3394,3931,907,4745,8630,797,1742,6782,4817
주행형,29007,705,740,816,6991,3115,2401,3350,3112,641,916,2569,3651
보행,1631,38,59,85,186,339,142,113,178,95,106,143,147
국민신고,36929,783,3327,2446,2223,6051,1051,6424,7810,835,1996,2395,1588
구/동,팔달구,지동,우만1동,우만2동,인계동,매교동,매산동,고등동,화서1동,화서2동,행궁동,,
고정형,85752,448,2183,210,62842,319,8883,2905,3047,1418,3497,,
주행형,20469,1818,428,142,9394,532,660,671,379,620,5825,,
보행,6428,227,274,169,2484,442,521,336,823,145,1007,,
국민신고,27468,1421,2935,647,10457,1169,2018,908,1304,642,5967,,
구/동,영통구,매탄1동,매탄2동,매탄3동,매탄4동,원천동,광교1동,광교2동,영통1동,영통2동,영통3동,망포1동,망포2동
고정형,25674,940,300,567,1308,2579,7186,3390,1838,2129,3297,605,1535
주행형,37041,1452,2306,7536,1296,4831,4478,348,656,7946,3067,1391,1734
보행,1879,35,42,358,249,152,207,207,160,105,183,71,110
국민신고,16854,1158,2076,1600,997,1084,1050,995,1339,1484,3805,518,748
